source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
SRC-OAS,https://spec.openapis.org/oas/latest.html,OpenAPI Specification,official standard,openapi,OpenAPI Initiative,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-HTTP,https://www.rfc-editor.org/rfc/rfc9110.html,HTTP Semantics RFC 9110,internet standard,ietf-http,IETF,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-SSE,https://html.spec.whatwg.org/multipage/server-sent-events.html,Server-sent events,living standard,whatwg-sse,WHATWG,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-JSON,https://json-schema.org/draft/2020-12,JSON Schema 2020-12,official standard,json-schema,JSON Schema,2026-08-11,accessed-2026-08-11,schema,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-ASYNC,https://www.asyncapi.com/docs/reference/specification/v3.0.0,AsyncAPI Specification 3.0.0,official standard,asyncapi,AsyncAPI Initiative,2026-08-11,accessed-2026-08-11,async,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-CLOUD,https://github.com/cloudevents/spec/blob/v1.0.2/cloudevents/spec.md,CloudEvents Specification,official standard,cloudevents,CNCF,2026-08-11,accessed-2026-08-11,events,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-OPENAI-STREAM,https://platform.openai.com/docs/api-reference/responses-streaming,OpenAI Responses streaming events,official documentation,openai-stream,OpenAI,2026-08-11,accessed-2026-08-11,implementation,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-OPENAI-STRUCT,https://openai.com/index/introducing-structured-outputs-in-the-api/,Introducing Structured Outputs,official technical article,openai-structured,OpenAI,2026-08-11,accessed-2026-08-11,implementation,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-VLLM,https://docs.vllm.ai/en/stable/usage/metrics/,vLLM production metrics,official documentation,vllm-metrics,vLLM,2026-08-11,accessed-2026-08-11,metrics,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-NIM,https://docs.nvidia.com/nim/benchmarking/llm/latest/metrics.html,NVIDIA NIM LLM benchmarking metrics,official documentation,nvidia-nim,NVIDIA,2026-08-11,accessed-2026-08-11,metrics,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-GENAI,https://github.com/triton-inference-server/perf_analyzer/tree/main/genai-perf,GenAI-Perf README,reference implementation,nvidia-genaiperf,NVIDIA,2026-08-11,accessed-2026-08-11,load,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
SRC-K6,https://grafana.com/docs/k6/latest/using-k6/scenarios/concepts/open-vs-closed/,Open and closed load models,official documentation,grafana-k6,Grafana,2026-08-11,accessed-2026-08-11,load,Supports definitions or constraints used to analyze 怎样证明 streaming、structured output、tool call 和 async job 的过程与终态都合法，且取消或重试不会重复副作用？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",真实代理缓冲、网络分片、工具服务和任务队列没有运行。,opened
