"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS10-SRC-01","https://principlesofchaos.org/","Principles of Chaos Engineering","professional principles","chaos-principles","Chaos Community","2026-08-11","current-at-access","profession-authority","Steady state hypothesis and blast radius","Does not prove any system survived","Does not prove any system survived; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-02","https://chaos-mesh.org/docs/simulate-pod-chaos-on-kubernetes/","Chaos Mesh PodChaos","official documentation","chaos-pod","Chaos Mesh","2026-08-11","current-at-access","executable-artifact","Pod fault controls","Selectors and cluster versions must be validated","Selectors and cluster versions must be validated; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-03","https://chaos-mesh.org/docs/simulate-network-chaos-on-kubernetes/","Chaos Mesh NetworkChaos","official documentation","chaos-network","Chaos Mesh","2026-08-11","current-at-access","executable-artifact","Delay loss partition injection","Cannot model every managed dependency","Cannot model every managed dependency; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-04","https://sre.google/sre-book/addressing-cascading-failures/","Google SRE cascading failures","professional guide","sre-cascade","Google","2026-08-11","current-at-access","practitioner-failure","Retry amplification and overload feedback","No universal retry budget","No universal retry budget; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-05","https://sre.google/sre-book/handling-overload/","Google SRE handling overload","professional guide","sre-overload","Google","2026-08-11","current-at-access","counterevidence","Load shedding and request failure behavior","Product degradation rules remain contextual","Product degradation rules remain contextual; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-06","https://sre.google/sre-book/monitoring-distributed-systems/","Google SRE monitoring","professional guide","sre-monitoring","Google","2026-08-11","current-at-access","profession-authority","Symptoms causes and golden signals","Does not define AI quality","Does not define AI quality; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-07","https://opentelemetry.io/docs/specs/","OpenTelemetry specifications","official specification","otel-spec","OpenTelemetry","2026-08-11","current-at-access","ai-capability","Trace metric log collection contracts","Signal completeness must be measured","Signal completeness must be measured; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-08","https://opentelemetry.io/docs/specs/semconv/","OpenTelemetry semantic conventions","official specification","otel-semconv","OpenTelemetry","2026-08-11","current-at-access","market-demand","Cross-service naming conventions","Some conventions are mixed stability","Some conventions are mixed stability; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-09","https://www.w3.org/TR/trace-context/","W3C Trace Context","standard","trace-context","W3C","2026-08-11","current-at-access","security-governance","Trace propagation format","Propagation alone is not secure evidence","Propagation alone is not secure evidence; version and target-system applicability must be rechecked","opened"
"TD-PS10-SRC-10","https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/","Kubernetes probes","official documentation","kubernetes-probes","CNCF","2026-08-11","current-at-access","practitioner-failure","Readiness liveness and startup signals","Probe success does not mean business correctness","Probe success does not mean business correctness; version and target-system applicability must be rechecked","opened"
