source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
"K8S-NS","Kubernetes namespaces","official documentation","professional-baseline","kubernetes-core","https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-core"
"K8S-RBAC","Kubernetes RBAC","official documentation","technical-protocol","kubernetes-authz","https://kubernetes.io/docs/reference/access-authn-authz/rbac/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-authz"
"K8S-QUOTA","ResourceQuota","official documentation","metrics-schema","kubernetes-resources","https://kubernetes.io/docs/concepts/policy/resource-quotas/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-resources"
"K8S-NETPOL","NetworkPolicy","official documentation","implementation","kubernetes-network","https://kubernetes.io/docs/concepts/services-networking/network-policies/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-network"
"K8S-TTL","TTL after finished","official documentation","failure-boundary","kubernetes-controller","https://kubernetes.io/docs/concepts/workloads/controllers/ttlafterfinished/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-controller"
"K8S-AUDIT","Kubernetes audit","official task guide","audit-tracing","kubernetes-audit","https://kubernetes.io/docs/tasks/debug/debug-cluster/audit/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-audit"
"K8S-SA","ServiceAccounts","official documentation","technical-protocol","kubernetes-identity","https://kubernetes.io/docs/concepts/security/service-accounts/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-identity"
"K8S-PSS","Pod Security Standards","official standard","standards","kubernetes-security","https://kubernetes.io/docs/concepts/security/pod-security-standards/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-security"
"OWASP","OWASP API Security 2023","security guidance","failure-boundary","owasp","https://owasp.org/API-Security/editions/2023/en/0x11-t10/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","owasp"
"K8S-LEARN","Kubernetes RBAC tutorial supply","official tutorial","learning-supply","kubernetes-learning","https://kubernetes.io/docs/reference/access-authn-authz/rbac/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","kubernetes-learning"
