source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
"GL-PIPE","GitLab pipelines","official documentation","technical-protocol","gitlab-ci","https://docs.gitlab.com/ci/pipelines/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-ci"
"GL-JUNIT","GitLab unit test reports","official documentation","implementation","gitlab-junit","https://docs.gitlab.com/ci/testing/unit_test_reports/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-junit"
"GL-MR","Merge Requests API","official API reference","implementation","gitlab-api","https://docs.gitlab.com/api/merge_requests/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-api"
"GL-STATUS","External status checks API","official API reference","technical-protocol","gitlab-status","https://docs.gitlab.com/api/status_checks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-status"
"GL-WEBHOOK","Project webhooks","official documentation","failure-boundary","gitlab-webhooks","https://docs.gitlab.com/user/project/integrations/webhooks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-webhooks"
"CE","CloudEvents core spec","open standard","standards","cncf-cloudevents","https://github.com/cloudevents/spec/blob/main/cloudevents/spec.md","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","cncf-cloudevents"
"JS","JSON Schema validation","open standard","metrics-schema","json-schema","https://json-schema.org/draft/2020-12/json-schema-validation","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","json-schema"
"OWASP","OWASP API Security 2023","security guidance","failure-boundary","owasp","https://owasp.org/API-Security/editions/2023/en/0x11-t10/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","owasp"
"W3C","W3C Trace Context","web standard","audit-tracing","w3c","https://www.w3.org/TR/trace-context/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","w3c"
"GL-LEARN","GitLab CI testing supply","official tutorial","learning-supply","gitlab-learning","https://docs.gitlab.com/ci/testing/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-learning"
