source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
W3-01,https://developers.openai.com/api/reference/resources/evals/methods/create,OpenAI Evals API,official-api,implementation,OpenAI,2026-08-11,2026-08-11,implementation,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from implementation,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-02,https://github.com/EleutherAI/lm-evaluation-harness,Language Model Evaluation Harness,repository,benchmark-harness,EleutherAI,2026-08-11,2026-08-11,benchmark-harness,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from benchmark-harness,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-03,https://crfm-helm.readthedocs.io/en/stable/,HELM documentation,official-docs,benchmark-harness,Stanford CRFM,2026-08-11,2026-08-11,benchmark-harness,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from benchmark-harness,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-04,https://github.com/swe-bench/SWE-bench,SWE-bench repository,repository,task-benchmark,SWE-bench,2026-08-11,2026-08-11,task-benchmark,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from task-benchmark,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-05,https://arxiv.org/abs/2310.06770,SWE-bench paper,paper,task-benchmark,Princeton/Chicago,2026-08-11,2023-10-10,task-benchmark,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from task-benchmark,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-06,https://arxiv.org/abs/2308.03688,AgentBench paper,paper,agent-benchmark,Tsinghua et al.,2026-08-11,2023-08-07,agent-benchmark,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from agent-benchmark,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-07,https://www.nist.gov/itl/ai-risk-management-framework,NIST AI RMF,government-guidance,governance,NIST,2026-08-11,2026-08-11,governance,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from governance,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-08,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,NIST Generative AI Profile,government-publication,governance,NIST,2026-08-11,2024-07-26,governance,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from governance,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-09,https://research.google/pubs/whats-your-ml-test-score-a-rubric-for-ml-production-systems/,ML Test Score,paper,production-quality,Google Research,2026-08-11,2016-12-09,production-quality,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from production-quality,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-10,https://opentelemetry.io/docs/specs/semconv/gen-ai/,OpenTelemetry GenAI semantic conventions,official-spec,observability,OpenTelemetry,2026-08-11,2026-08-11,observability,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from observability,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-11,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,NIST AI RMF Core,government-guidance,governance,NIST AIRC,2026-08-11,2026-08-11,governance,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from governance,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
W3-12,https://opentelemetry.io/blog/2026/genai-observability/,GenAI observability walkthrough,official-article,observability,OpenTelemetry,2026-08-11,2026-05-14,observability,Supports 固定 workload、风险切片、TTFT/TPOT/尾延迟、Token 与 cost-per-success from observability,Does not establish 先淘汰突破硬底线的候选，再在合格候选中讨论 Pareto 权衡。 as universal production policy,真实模型价格、流量、缓存与 SLO 未测。 Source bounded to stated system.,opened
