source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
TD-F05-S01,https://istqb.org/,ISTQB AI testing syllabus,professional syllabus,testing-competency,ISTQB,2026-08-12,current-at-access,profession-authority,AI testing dimensions and evaluation vocabulary,does not define this product's thresholds,syllabus is not a production metric contract,opened
TD-F05-S02,https://www.iso.org/standard/42001,ISO 42001 AI management,standard,ai-governance,ISO,2026-08-12,2023,profession-authority,governance owners and improvement,does not specify F1/QPS thresholds,public summary is not full standard text,opened
TD-F05-S03,https://www.w3.org/TR/WCAG22/,WCAG 2.2,standard,quality-model,W3C,2026-08-12,2023,ai-capability,quality criteria and user impact,does not replace task-specific Oracle,conformance depends on context,opened
TD-F05-S04,https://sre.google/sre-book/service-level-objectives/,SRE SLO,official documentation,reliability,Google SRE,2026-08-12,current-at-access,executable-artifact,denominator and action-oriented SLO thinking,does not prove an AI task is correct,service data and error budget are local,opened
TD-F05-S05,https://principlesofchaos.org/,Principles of Chaos Engineering,standard,chaos,Chaos Community,2026-08-12,current-at-access,practitioner-failure,steady state and failure hypotheses,does not define quality metrics,experiments need authorization,opened
TD-F05-S06,https://www.promptfoo.dev/docs/intro/,Promptfoo introduction,official documentation,eval-tool,Promptfoo,2026-08-12,current-at-access,ai-capability,eval cases and regression workflow,does not prove semantic truth,provider execution is not run,opened
TD-F05-S07,https://docs.vllm.ai/en/latest/design/metrics/,vLLM production metrics,official documentation,serving, vLLM,2026-08-12,current-at-access,executable-artifact,TTFT TPOT queue and serving metric definitions,does not prove business success,implementation metrics vary by stack,opened
TD-F05-S08,https://owasp.org/www-project-application-security-verification-standard/,OWASP ASVS,professional guide,security,OWASP,2026-08-12,current-at-access,practitioner-failure,risk and security verification dimensions,does not supply a universal AI metric,controls require tailoring,opened
TD-F05-S09,https://github.com/confident-ai/deepeval,DeepEval repository,primary repository,eval,Confident AI,2026-08-12,current-at-access,executable-artifact,metric and test integration examples,does not prove a metric's business validity,framework and version must be checked,opened
TD-F05-S10,https://arxiv.org/,AI evaluation research,research paper,eval-research,arXiv,2026-08-12,current-at-access,market-signal,task-specific metric research directions,does not establish a production threshold,paper populations and metrics vary,opened
