"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS03-SRC-01","https://spec.openapis.org/oas/latest.html","OpenAPI Specification 3.2.0","standard","openapi","Linux Foundation","2026-08-11","current-at-access","profession-authority","HTTP API description and schema dialect","Does not encode business state or side effects","Does not encode business state or side effects; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-02","https://www.rfc-editor.org/rfc/rfc9110.html","HTTP Semantics RFC 9110","standard","http-semantics","IETF","2026-08-11","current-at-access","profession-authority","Method status and idempotency semantics","Does not prove domain completion","Does not prove domain completion; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-03","https://json-schema.org/draft/2020-12","JSON Schema Draft 2020-12","standard","json-schema","JSON Schema","2026-08-11","current-at-access","executable-artifact","Validation vocabulary and dialect","Does not express all cross-record rules","Does not express all cross-record rules; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-04","https://docs.pact.io/","Pact introduction","official documentation","consumer-contract","Pact","2026-08-11","current-at-access","executable-artifact","Consumer-driven interaction contracts","Does not prove downstream side effects","Does not prove downstream side effects; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-05","https://docs.pact.io/implementation_guides/pact_specification","Pact specification","specification","contract-matching","Pact","2026-08-11","current-at-access","counterevidence","Matcher consistency across implementations","Does not replace end-to-end tests","Does not replace end-to-end tests; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-06","https://www.asyncapi.com/docs/reference/specification/v3.0.0","AsyncAPI Specification 3.0","standard","asyncapi","AsyncAPI Initiative","2026-08-11","current-at-access","profession-authority","Channel message and operation contracts","Broker semantics remain implementation-specific","Broker semantics remain implementation-specific; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-07","https://github.com/cloudevents/spec/blob/v1.0.2/cloudevents/spec.md","CloudEvents 1.0.2","repository specification","cloudevents","CNCF","2026-08-11","current-at-access","executable-artifact","Portable event envelope attributes","Does not define business deduplication","Does not define business deduplication; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-08","https://owasp.org/API-Security/","OWASP API Security","professional guide","api-security","OWASP","2026-08-11","current-at-access","security-governance","API authorization and abuse risk classes","Not a target-system threat model","Not a target-system threat model; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-09","https://opentelemetry.io/docs/specs/semconv/http/","OpenTelemetry HTTP conventions","official specification","otel-http","OpenTelemetry","2026-08-11","current-at-access","ai-capability","Correlatable HTTP telemetry fields","Telemetry presence is not business truth","Telemetry presence is not business truth; version and target-system applicability must be rechecked","opened"
"TD-PS03-SRC-10","https://schemathesis.readthedocs.io/en/stable/","Schemathesis documentation","official documentation","property-testing","Schemathesis","2026-08-11","current-at-access","practitioner-failure","Schema-derived property tests and reproducible cases","Generated volume is not semantic coverage","Generated volume is not semantic coverage; version and target-system applicability must be rechecked","opened"
