source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
T07-S01,https://istqb.org/wp-content/uploads/2024/11/ISTQB_CTFL_Syllabus_v4.0.1.pdf,ISTQB CTFL v4.0.1,professional-syllabus,istqb-ctfl,istqb,2026-08-11,2024-11,professional-baseline,"equivalence boundary decision table and state techniques","which tool to use automatically","syllabus gives methods not project-specific constraints",opened
T07-S02,https://csrc.nist.gov/projects/automated-combinatorial-testing-for-software/faqs,NIST combinatorial testing FAQ,government-technical-guide,nist-acts,nist,2026-08-11,2015,metrics-method,"t-way coverage and covering arrays for interacting factors","all business-valid combinations or universal strength","coverage criterion needs constraints and residual-risk decision",opened
T07-S03,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=910783,Combinatorial testing for software,research-paper,nist-combinatorial-paper,nist,2026-08-11,2013,metrics-method,"combinatorial test design and constraint handling","current tool integration","research examples do not set business thresholds",opened
T07-S04,https://hypothesis.readthedocs.io/en/latest/,Hypothesis documentation,official-documentation,hypothesis-docs,hypothesisworks,2026-08-11,6.165.3,implementation,"property-based generation edge cases and shrinking","business invariant discovery","Python library and current version specific",opened
T07-S05,https://github.com/HypothesisWorks/hypothesis,Hypothesis repository,primary-repository,hypothesis-repository,hypothesisworks,2026-08-11,2026-05,implementation,"implementation and simplest failing example behavior","production data representativeness","same project family as documentation",opened
T07-S06,https://schemathesis.readthedocs.io/en/stable/explanations/data-generation/,Schemathesis data generation,official-documentation,schemathesis-generation,schemathesis,2026-08-11,2026-08,ai-technical,"examples coverage fuzzing stateful phases and shrinking","enterprise API safety or auth permissions","OpenAPI and GraphQL scope with tool defaults",opened
T07-S07,https://schemathesis.readthedocs.io/en/stable/reference/cli/,Schemathesis CLI reference,official-documentation,schemathesis-cli,schemathesis,2026-08-11,2026-08,implementation,"replay of recorded failures and fuzz time bounds","semantic Oracle completeness","tool-specific CLI changes",opened
T07-S08,https://aflplus.plus/docs/,AFL++ documentation,official-documentation,aflplusplus-docs,aflplusplus,2026-08-11,2026,failure-counterevidence,"instrumentation corpus and fuzz campaign lifecycle","structured business-valid data or API Oracle","low-level fuzzing differs from business property testing",opened
T07-S09,https://docs.python.org/3/library/random.html,Python random documentation,official-documentation,python-random,python-software-foundation,2026-08-11,3.14.7,implementation,"deterministic pseudo-random state and seeding interfaces","cryptographic randomness or full environment replay","seed alone cannot freeze external time state or dependencies",opened
T07-S10,https://playwright.dev/docs/test-agents,Playwright Test Agents,official-documentation,playwright-test-agents,microsoft-playwright,2026-08-11,2026-08,ai-technical,"AI can propose plans and executable tests","valid data domains or invariant authority","browser-oriented generated tests need independent checks",opened
T07-S11,https://testing.googleblog.com/2020/08/code-coverage-best-practices.html,Code Coverage Best Practices,practitioner-article,google-code-coverage,google,2026-08-11,2020-08,failure-counterevidence,"edge cases can remain despite line coverage","property or fuzz method guarantee","historical organizational guidance",opened
T07-S12,https://schemathesis.readthedocs.io/en/stable/tutorials/cli/,Schemathesis CLI tutorial,tutorial,schemathesis-course-supply,schemathesis,2026-08-11,2026-08,learner-supply,"worked baseline failure repair and report flow","measured learner transfer or efficacy","vendor tutorial uses its own example API",opened
