source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
SRC-TRANSFORMER,https://arxiv.org/abs/1706.03762,Attention Is All You Need,research paper,vaswani,vaswani,2026-08-11,2017,architecture,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the architecture lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-RAG,https://arxiv.org/abs/2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,research paper,lewis-rag,lewis-rag,2026-08-11,2020,architecture,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the architecture lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-RAGAS,https://arxiv.org/abs/2309.15217,RAGAS: Automated Evaluation of Retrieval Augmented Generation,research paper,ragas,ragas,2026-08-11,2023,metrics,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the metrics lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-ARES,https://arxiv.org/abs/2311.09476,ARES: Automated Evaluation Framework for RAG,research paper,ares,ares,2026-08-11,2023,metrics,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the metrics lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-RAG-SURVEY,https://arxiv.org/abs/2405.07437,Evaluation of Retrieval-Augmented Generation: A Survey,research survey,rag-survey,rag-survey,2026-08-11,2024,counterevidence,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the counterevidence lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-OPENAI-EVALS,https://platform.openai.com/docs/api-reference/evals,OpenAI Evals API reference,official documentation,openai,openai,2026-08-11,accessed-2026-08-11,implementation,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the implementation lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-ANTHROPIC-AGENTS,https://www.anthropic.com/engineering/building-effective-agents,Building effective agents,technical guidance,anthropic,anthropic,2026-08-11,2024,architecture,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the architecture lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-ANTHROPIC-CONTEXT,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,Effective context engineering for AI agents,technical guidance,anthropic-context,anthropic-context,2026-08-11,2025,failure,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the failure lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-NIST-AIRC,https://airc.nist.gov/,NIST AI Resource Center,standard guidance,nist-airc,nist-airc,2026-08-11,accessed-2026-08-11,governance,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the governance lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
SRC-NIST-STATS,https://www.nist.gov/publications/expanding-ai-evaluation-toolbox-statistical-models,Expanding the AI Evaluation Toolbox with Statistical Models,government report,nist-stats,nist-stats,2026-08-11,2026,metrics,Supports 生成、检索、工具、状态、Handoff、终止和副作用的分层架构 from the metrics lane,Does not establish 按谁决定下一步、状态存在哪里、是否能产生副作用来分类，不按产品营销名称分类。 as universal production policy,目标框架对 Agent、Worker 和 Workflow 的命名、重试和状态语义尚未接入。 Source remains bounded to its stated system and study.,opened
