source_id,title,source_type,evidence_lane,source_family,url,version_date,accessed_at,opened_status,supports,does_not_support,limitations,publisher_group
"CE-SPEC","CloudEvents core spec","open standard","standards","cncf-cloudevents","https://github.com/cloudevents/spec/blob/main/cloudevents/spec.md","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","cncf-cloudevents"
"CE-JSON","CloudEvents JSON format","open specification","metrics-schema","cncf-format","https://github.com/cloudevents/spec/blob/main/cloudevents/formats/json-format.md","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","cncf-format"
"CE-TRACE","CloudEvents tracing extension","open specification","audit-tracing","cncf-tracing","https://github.com/cloudevents/spec/blob/main/cloudevents/extensions/distributed-tracing.md","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","cncf-tracing"
"W3C","W3C Trace Context","web standard","audit-tracing","w3c","https://www.w3.org/TR/trace-context/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","w3c"
"OTEL","OpenTelemetry messaging spans","open specification","implementation","opentelemetry","https://opentelemetry.io/docs/specs/semconv/messaging/messaging-spans/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","opentelemetry"
"JS","JSON Schema validation","open standard","metrics-schema","json-schema","https://json-schema.org/draft/2020-12/json-schema-validation","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","json-schema"
"NIST","NIST SP 800-204D","government guidance","professional-baseline","nist","https://csrc.nist.gov/pubs/sp/800/204/d/final","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","nist"
"OWASP","OWASP API Security 2023","security guidance","failure-boundary","owasp","https://owasp.org/API-Security/editions/2023/en/0x11-t10/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","owasp"
"GL-WEBHOOK","GitLab webhooks","official documentation","failure-boundary","gitlab-webhooks","https://docs.gitlab.com/user/project/integrations/webhooks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","gitlab-webhooks"
"ATL-WEBHOOK","Jira webhooks supply","official tutorial","learning-supply","atlassian-webhooks","https://developer.atlassian.com/cloud/jira/platform/webhooks/","current","2026-08-11","opened","current platform semantics and course decision","production effectiveness or organization authority","public documentation; live environment verification required","atlassian-webhooks"
