source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
T08-S01,https://www.w3.org/TR/trace-context/,W3C Trace Context,technical-standard,w3c-trace-context,w3c,2026-08-11,2021-11,professional-baseline,"portable traceparent and tracestate correlation","root cause identification","propagation standard does not guarantee complete telemetry",opened
T08-S02,https://opentelemetry.io/docs/concepts/signals/traces/,OpenTelemetry Traces,official-documentation,otel-traces,opentelemetry,2026-08-11,2026-08,implementation,"trace span hierarchy events and trace IDs","causal diagnosis or complete sampling","signal completeness depends on instrumentation and sampling",opened
T08-S03,https://opentelemetry.io/docs/specs/otel/logs/,OpenTelemetry Logs specification,technical-specification,otel-logs-spec,opentelemetry,2026-08-11,2026-08,implementation,"TraceId SpanId log correlation fields","retained raw payload or privacy policy","specification allows implementation variation",opened
T08-S04,https://opentelemetry.io/docs/concepts/context-propagation/,OpenTelemetry context propagation,official-documentation,otel-context-propagation,opentelemetry,2026-08-11,2026-08,metrics-method,"context propagation links distributed operations","guaranteed unbroken traces","instrumentation gaps can break correlation",opened
T08-S05,https://sentry.io/changelog/enhanced-issue-grouping/,Sentry enhanced issue grouping,vendor-release-note,sentry-grouping-release,sentry,2026-08-11,2026-06,ai-technical,"semantic grouping can merge or separate failures and is calibrated for ambiguity","independent causal validity","vendor claim and proprietary training details",opened
T08-S06,https://sentry.zendesk.com/hc/en-us/articles/26184711712155-Why-Are-My-Events-Grouped-or-Separated-Incorrectly-in-Sentry,Sentry grouping troubleshooting,official-support-document,sentry-grouping-support,sentry,2026-08-11,2026-03,failure-counterevidence,"fingerprints can group events incorrectly and need review","universal grouping fields","product-specific behavior",opened
T08-S07,https://sre.google/sre-book/effective-troubleshooting/,Google SRE troubleshooting,practitioner-book,google-sre-troubleshooting,google,2026-08-11,2026,professional-baseline,"hypothesis driven diagnosis and evidence gathering","AI clustering accuracy","Google practice requires local adaptation",opened
T08-S08,https://testing.googleblog.com/2024/05/test-failures-should-be-actionable.html,Test Failures Should Be Actionable,practitioner-article,google-testing-actionable,google,2026-08-11,2024-05,failure-counterevidence,"failure messages should support action and diagnosis","root cause automation","guidance does not define trace schema",opened
T08-S09,https://pytest.org/en/8.0.x/how-to/output.html,Managing pytest output,official-documentation,pytest-output,pytest,2026-08-11,8.0,implementation,"structured JUnit outputs and timing definitions","cross-layer trace correlation","pytest-specific output semantics",opened
T08-S10,https://developers.openai.com/api/docs/guides/evals,Working with evals,official-documentation,openai-evals-guide,openai,2026-08-11,2026-08,ai-technical,"explicit datasets graders and run outputs for evaluation","same-model causal approval","provider docs need independent evidence design",opened
T08-S11,https://docs.github.com/en/actions/using-workflows/storing-workflow-data-as-artifacts,Store workflow data as artifacts,official-documentation,github-actions-artifacts,github,2026-08-11,2026-08,practitioner-workflow,"preserve run outputs as downloadable artifacts","evidence semantic correctness","retention and access are platform-specific",opened
T08-S12,https://www.ministryoftesting.com/media-sessions/ai-driven-testing-in-practice-from-requirements-to-reliable-automation,AI driven testing in practice,practitioner-session,mot-ai-testing-session,ministry-of-testing,2026-08-11,2026,learner-supply,"learner demand for reliable AI-assisted diagnosis workflows","measured clustering efficacy","session page is not a production benchmark",opened
