source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
TD-C03-S01,https://istqb.org/,ISTQB AI testing syllabus,professional syllabus,testing-competency,ISTQB,2026-08-12,current-at-access,profession-authority,layered testing competency and learning outcomes,does not promise a learner job,syllabus is not individual assessment,opened
TD-C03-S02,https://www.iso.org/standard/42001,ISO 42001 AI management,standard,ai-governance,ISO,2026-08-12,2023,profession-authority,accountability and improvement records,does not define a 90-day personal plan,public description is not the full standard,opened
TD-C03-S03,https://www.w3.org/TR/WCAG22/,WCAG 2.2,standard,quality-model,W3C,2026-08-12,2023,ai-capability,checkable quality and user-centered outcomes,does not prove learner mastery,conformance requires target-context testing,opened
TD-C03-S04,https://sre.google/sre-book/service-level-objectives/,SRE SLO,official documentation,reliability,Google SRE,2026-08-12,current-at-access,executable-artifact,measurable objectives and owners,does not define career progression,local service data is required,opened
TD-C03-S05,https://principlesofchaos.org/,Principles of Chaos Engineering,standard,chaos,Chaos Community,2026-08-12,current-at-access,practitioner-failure,experiment and recovery evidence,does not prove learning effectiveness,experiments need authorization,opened
TD-C03-S06,https://www.promptfoo.dev/docs/intro/,Promptfoo introduction,official documentation,eval-tool,Promptfoo,2026-08-12,current-at-access,ai-capability,repeatable evaluation workflow,does not prove generated answers are correct,provider and model execution are not run here,opened
TD-C03-S07,https://playwright.dev/docs/test-agents,Playwright test agents,official documentation,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,practice artifact and repeatable commands,does not establish individual proficiency,automation output needs review,opened
TD-C03-S08,https://owasp.org/www-project-application-security-verification-standard/,OWASP ASVS,professional guide,security,OWASP,2026-08-12,current-at-access,practitioner-failure,risk-oriented verification,does not prove learner security readiness,scope must match the target system,opened
TD-C03-S09,https://github.com/microsoft/playwright,Playwright repository,primary repository,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,inspectable examples and issue history,does not prove course completion,repository state can evolve,opened
TD-C03-S10,https://arxiv.org/,Learning and evaluation research,research paper,learning-research,arXiv,2026-08-12,current-at-access,market-signal,study hypotheses for feedback and evaluation,does not prove this learner's outcome,paper methods and populations vary,opened
