"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS08-SRC-01","https://www.postgresql.org/docs/current/ddl-alter.html","PostgreSQL modifying tables","database reference","postgres-ddl","PostgreSQL","2026-08-11","current-at-access","profession-authority","DDL alteration and constraint behavior","Lock duration depends on concrete operation and version","Lock duration depends on concrete operation and version; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-02","https://www.postgresql.org/docs/current/ddl-constraints.html","PostgreSQL constraints","official documentation","postgres-constraints","PostgreSQL","2026-08-11","current-at-access","executable-artifact","Check unique foreign key semantics","Does not define business reconciliation","Does not define business reconciliation; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-03","https://www.postgresql.org/docs/current/transaction-iso.html","PostgreSQL transaction isolation","official documentation","postgres-isolation","PostgreSQL","2026-08-11","current-at-access","practitioner-failure","Isolation anomalies and snapshots","Application retry policy remains external","Application retry policy remains external; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-04","https://www.postgresql.org/docs/current/routine-vacuuming.html","PostgreSQL routine vacuuming","official documentation","postgres-maintenance","PostgreSQL","2026-08-11","current-at-access","counterevidence","Maintenance and statistics effects","Not a migration acceptance oracle","Not a migration acceptance oracle; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-05","https://debezium.io/documentation/reference/stable/connectors/postgresql.html","Debezium PostgreSQL connector","connector reference","debezium-postgres","Debezium","2026-08-11","current-at-access","executable-artifact","Snapshots offsets and change streaming","Duplicate delivery remains possible","Duplicate delivery remains possible; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-06","https://debezium.io/documentation/reference/stable/connectors/index.html","Debezium connectors","official documentation","debezium-connectors","Debezium","2026-08-11","current-at-access","market-demand","Connector coverage and common event structure","Connector support levels vary","Connector support levels vary; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-07","https://kafka.apache.org/documentation/#semantics","Kafka delivery semantics","official documentation","kafka-semantics","Apache Kafka","2026-08-11","current-at-access","profession-authority","At-most once at-least once and transactions","End-to-end exactly-once requires participating systems","End-to-end exactly-once requires participating systems; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-08","https://docs.liquibase.com/concepts/changelogs/changeset.html","Liquibase changesets","migration tool guide","liquibase","Liquibase","2026-08-11","current-at-access","ai-capability","Versioned migration units and checksums","Does not prove data correctness","Does not prove data correctness; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-09","https://documentation.red-gate.com/flyway/reference/commands/validate","Flyway validate","official documentation","flyway-validate","Redgate","2026-08-11","current-at-access","security-governance","Applied migration validation","Checksum pass does not reconcile data","Checksum pass does not reconcile data; version and target-system applicability must be rechecked","opened"
"TD-PS08-SRC-10","https://kubernetes.io/docs/concepts/workloads/controllers/job/","Kubernetes Jobs","official documentation","kubernetes-job","CNCF","2026-08-11","current-at-access","practitioner-failure","Bounded batch execution and completion","Job success does not prove migration semantics","Job success does not prove migration semantics; version and target-system applicability must be rechecked","opened"
