source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
SRC-ONET,https://www.onetonline.org/link/details/15-1253.00,Software Quality Assurance Analysts and Testers,occupational database,onet,US Department of Labor,2026-08-11,accessed-2026-08-11,career,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-BLS,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,"Software developers, QA analysts, and testers",government outlook,bls,US Bureau of Labor Statistics,2026-08-11,accessed-2026-08-11,career,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-SFIA-TEST,https://sfia-online.org/en/sfia-9/skills/testing,SFIA Testing skill,professional framework,sfia-testing,SFIA Foundation,2026-08-11,accessed-2026-08-11,career,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-SFIA-QA,https://sfia-online.org/en/sfia-9/skills/quality-assurance,SFIA Quality assurance skill,professional framework,sfia-qa,SFIA Foundation,2026-08-11,accessed-2026-08-11,governance,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-NIST,https://airc.nist.gov/airmf-resources/airmf/5-sec-core/,NIST AI RMF Core,government framework,nist-airc,NIST,2026-08-11,accessed-2026-08-11,governance,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-ISTQB,https://istqb.org/wp-content/uploads/2024/11/ISTQB_CTFL_Syllabus_v4.0.1.pdf,ISTQB CTFL Syllabus 4.0.1,professional syllabus,istqb-ctfl,ISTQB,2026-08-11,accessed-2026-08-11,testing,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-OAS,https://spec.openapis.org/oas/latest.html,OpenAPI Specification,official standard,openapi,OpenAPI Initiative,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-HTTP,https://www.rfc-editor.org/rfc/rfc9110.html,HTTP Semantics RFC 9110,internet standard,ietf-http,IETF,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-SSE,https://html.spec.whatwg.org/multipage/server-sent-events.html,Server-sent events,living standard,whatwg-sse,WHATWG,2026-08-11,accessed-2026-08-11,protocol,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-JSON,https://json-schema.org/draft/2020-12,JSON Schema 2020-12,official standard,json-schema,JSON Schema,2026-08-11,accessed-2026-08-11,schema,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-ASYNC,https://www.asyncapi.com/docs/reference/specification/v3.0.0,AsyncAPI Specification 3.0.0,official standard,asyncapi,AsyncAPI Initiative,2026-08-11,accessed-2026-08-11,async,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
SRC-CLOUD,https://github.com/cloudevents/spec/blob/v1.0.2/cloudevents/spec.md,CloudEvents Specification,official standard,cloudevents,CNCF,2026-08-11,accessed-2026-08-11,events,Supports definitions or constraints used to analyze 怎样把已有测试能力迁移到可验证的新责任，并用作品证明，而不承诺就业、薪资或某一岗位必然存在？,"Does not establish universal production thresholds, provider behavior, capacity, or employment outcomes",课程不能证明招聘需求、薪资、晋升、地区机会或个体适配。,opened
