"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS04-SRC-01","https://playwright.dev/docs/locators","Playwright locators","official documentation","playwright-locators","Microsoft","2026-08-11","current-at-access","executable-artifact","User-facing locators and explicit test contracts","Role locators do not prove accessibility","Role locators do not prove accessibility; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-02","https://playwright.dev/docs/actionability","Playwright auto-waiting","official documentation","playwright-actionability","Microsoft","2026-08-11","current-at-access","practitioner-failure","Actionability checks and retrying assertions","Cannot wait for an undefined business terminal state","Cannot wait for an undefined business terminal state; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-03","https://playwright.dev/docs/accessibility-testing","Playwright accessibility testing","official documentation","playwright-a11y","Microsoft","2026-08-11","current-at-access","counterevidence","Automated accessibility scan integration","Manual and inclusive testing remain necessary","Manual and inclusive testing remain necessary; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-04","https://playwright.dev/docs/test-snapshots","Playwright visual comparisons","official documentation","playwright-visual","Microsoft","2026-08-11","current-at-access","executable-artifact","Snapshot comparison workflow","Baseline approval remains a human decision","Baseline approval remains a human decision; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-05","https://www.w3.org/TR/WCAG22/","WCAG 2.2","standard","wcag","W3C","2026-08-11","current-at-access","profession-authority","Normative accessibility success criteria","Does not prescribe one automation library","Does not prescribe one automation library; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-06","https://www.w3.org/WAI/WCAG22/Understanding/name-role-value","WCAG Name Role Value","professional guide","wcag-components","W3C","2026-08-11","current-at-access","profession-authority","Programmatic component semantics","Understanding pages are explanatory not a conformance claim","Understanding pages are explanatory not a conformance claim; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-07","https://www.w3.org/WAI/WCAG22/Understanding/focus-visible","WCAG Focus Visible","professional guide","wcag-focus","W3C","2026-08-11","current-at-access","security-governance","Visible keyboard focus requirements","Does not prove complete keyboard journey","Does not prove complete keyboard journey; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-08","https://www.w3.org/TR/wai-aria-1.2/","WAI-ARIA 1.2","standard","wai-aria","W3C","2026-08-11","current-at-access","profession-authority","Roles states and accessibility API semantics","Incorrect ARIA can still harm users","Incorrect ARIA can still harm users; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-09","https://www.w3.org/TR/act-rules-format-1.1/","ACT Rules Format 1.1","standard","act-rules","W3C","2026-08-11","current-at-access","ai-capability","Repeatable accessibility rule structure","Rule coverage is partial","Rule coverage is partial; version and target-system applicability must be rechecked","opened"
"TD-PS04-SRC-10","https://developer.mozilla.org/en-US/docs/Web/Accessibility","MDN Accessibility","professional documentation","web-accessibility","Mozilla","2026-08-11","current-at-access","practitioner-failure","Implementation-oriented accessibility guidance","Not a normative conformance source","Not a normative conformance source; version and target-system applicability must be rechecked","opened"
