source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
X603-S01,https://www.nist.gov/itl/ai-risk-management-framework,NIST AI RMF,government-framework,nist-rmf,nist,2026-08-11,current,professional-baseline,"长期 Memory、个性化与语义缓存 的机制和专业边界","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S02,https://platform.openai.com/docs/guides/evals,OpenAI Evals guide,official-documentation,openai-evals,openai,2026-08-11,current,metrics-method,"长期 Memory、个性化与语义缓存 的机制和专业边界","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S03,https://sre.google/workbook/canarying-releases/,Google SRE Canarying Releases,practitioner-book,google-sre-canary,google,2026-08-11,current,failure-counterevidence,"长期 Memory、个性化与语义缓存 的机制和专业边界","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S04,https://fairlearn.org/main/user_guide/assessment/index.html,Fairlearn assessment,official-documentation,fairlearn-assessment,microsoft,2026-08-11,current,metrics-method,"长期 Memory、个性化与语义缓存 的机制和专业边界","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S05,https://www.w3.org/TR/WCAG22/,WCAG 2.2,technical-standard,wcag-22,w3c,2026-08-11,current,inclusion-safety,"长期 Memory、个性化与语义缓存 的机制和专业边界","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S06,https://slsa.dev/spec/v1.2/,SLSA 1.2,technical-standard,slsa-12,openssf,2026-08-11,current,security-governance,"长期 Memory、个性化与语义缓存 的实现、度量或反证","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S07,https://opentelemetry.io/docs/specs/semconv/gen-ai/,OpenTelemetry GenAI conventions,technical-specification,otel-genai,opentelemetry,2026-08-11,current,practitioner-workflow,"长期 Memory、个性化与语义缓存 的实现、度量或反证","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S08,https://docs.langchain.com/oss/python/concepts/memory,LangChain memory,official-documentation,langchain-memory,langchain,2026-08-11,current,implementation,"长期 Memory、个性化与语义缓存 的实现、度量或反证","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S09,https://redis.io/docs/latest/develop/ai/redisvl/user_guide/llmcache/,Redis semantic cache,official-documentation,redis-cache,redis,2026-08-11,current,implementation,"长期 Memory、个性化与语义缓存 的实现、度量或反证","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened
X603-S10,https://opentelemetry.io/docs/specs/semconv/gen-ai/,OpenTelemetry GenAI conventions,technical-specification,otel-genai,opentelemetry,2026-08-11,current,practitioner-workflow,"长期 Memory、个性化与语义缓存 的实现、度量或反证","本课程的真实业务效果","只支持局部方法，不代表组织阈值或生产结果",opened

