source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
T06-S01,https://istqb.org/wp-content/uploads/2024/11/ISTQB_CTFL_Syllabus_v4.0.1.pdf,ISTQB CTFL v4.0.1,professional-syllabus,istqb-ctfl,istqb,2026-08-11,2024-11,professional-baseline,"test cases derive from test conditions and coverage items","AI generated tests are effective","competency syllabus not execution evidence",opened
T06-S02,https://stryker-mutator.io/docs/,What is mutation testing,official-documentation,stryker-overview,stryker-mutator,2026-08-11,2026-08,metrics-method,"mutants killed versus survived as test effectiveness evidence","universal score threshold","tool semantics do not make equivalent mutants disappear",opened
T06-S03,https://stryker-mutator.io/docs/mutation-testing-elements/mutant-states-and-metrics/,Mutant states and metrics,official-documentation,stryker-metrics,stryker-mutator,2026-08-11,2026-08,metrics-method,"killed survived no coverage timeout and formulas","business severity of each mutant","same publisher as overview and tool-specific classifications",opened
T06-S04,https://pitest.org/quickstart/basic_concepts/,PIT mutation testing basic concepts,official-documentation,pitest-basic-concepts,pitest,2026-08-11,2026-08,implementation,"mutation changes code and runs tests to assess detection","Python or browser integration","JVM implementation and defaults differ",opened
T06-S05,https://github.com/boxed/mutmut,Mutmut repository,primary-repository,mutmut-repository,boxed,2026-08-11,2026-08,implementation,"Python mutation runner workflow and surviving mutants","enterprise CI adoption or semantic equivalence","repository behavior changes by release",opened
T06-S06,https://testing.googleblog.com/2021/04/mutation-testing.html,Mutation Testing at Google,practitioner-article,google-mutation-testing,google,2026-08-11,2021-04,practitioner-workflow,"diff-scoped mutants and unproductive mutant limitations","transferability of Google scale or process","one organization and historical implementation",opened
T06-S07,https://testing.googleblog.com/2020/08/code-coverage-best-practices.html,Code Coverage Best Practices,practitioner-article,google-code-coverage,google,2026-08-11,2020-08,failure-counterevidence,"coverage can miss assertion weakness and mutation adds signal","ideal threshold for this course","coverage guidance is contextual and older",opened
T06-S08,https://playwright.dev/docs/test-agents,Playwright Test Agents,official-documentation,playwright-test-agents,microsoft-playwright,2026-08-11,2026-08,ai-technical,"AI planner generator healer can create and rerun tests","generated test quality or independent Oracle","browser workflow only and healer may skip",opened
T06-S09,https://docs.github.com/en/copilot/responsible-use,Responsible use of GitHub Copilot,official-documentation,github-copilot-responsible,github,2026-08-11,2026-08,failure-counterevidence,"AI suggestions require validation and can be wrong","mutation score or test method selection","general vendor boundary not mutation-specific",opened
T06-S10,https://pytest.org/en/8.0.x/how-to/output.html,Managing pytest output,official-documentation,pytest-output,pytest,2026-08-11,8.0,implementation,"machine-readable failure output and JUnit timing semantics","business Oracle or model correctness","pytest-specific reporting semantics",opened
T06-S11,https://developers.openai.com/api/docs/guides/evals,Working with evals,official-documentation,openai-evals-guide,openai,2026-08-11,2026-08,ai-technical,"explicit eval cases data and graders","same-model grading independence by default","provider docs require local independent Oracle design",opened
T06-S12,https://www.ministryoftesting.com/media-sessions/ai-driven-testing-in-practice-from-requirements-to-reliable-automation,AI driven testing in practice,practitioner-session,mot-ai-testing-session,ministry-of-testing,2026-08-11,2026,learner-supply,"course supply connects AI generation to reliable automation","mutation proof or outcome improvement","session page is not a runnable benchmark",opened
