"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS07-SRC-01","https://developer.apple.com/documentation/xcuiautomation","XCUIAutomation","official documentation","xcuiautomation","Apple","2026-08-11","current-at-access","executable-artifact","UI control and state inspection","Does not prove backend state","Does not prove backend state; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-02","https://developer.apple.com/documentation/xctest","XCTest","official documentation","xctest","Apple","2026-08-11","current-at-access","profession-authority","Test case and expectation framework","App-specific isolation is still required","App-specific isolation is still required; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-03","https://developer.apple.com/documentation/xcode/adding-tests-to-your-xcode-project","Adding tests to your Xcode project","official documentation","xcuitest","Apple","2026-08-11","current-at-access","executable-artifact","UI test organization and critical workflow guidance","Simulator and device behavior differ","Simulator and device behavior differ; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-04","https://developer.apple.com/documentation/xcuiautomation/xcuiapplication","XCUIApplication","API reference","xcuiapplication","Apple","2026-08-11","current-at-access","ai-capability","Launch terminate and app state control","Cannot reset every external dependency","Cannot reset every external dependency; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-05","https://developer.apple.com/documentation/xcuiautomation/xcuiscreenshot","XCUIScreenshot","API reference","xcuiscreenshot","Apple","2026-08-11","current-at-access","practitioner-failure","Failure screenshots","Screenshot is not a business oracle","Screenshot is not a business oracle; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-06","https://developer.apple.com/documentation/xctest/xctestexpectation","XCTestExpectation","API reference","xctest-expectation","Apple","2026-08-11","current-at-access","practitioner-failure","Async expectation handling","Wrong fulfillment condition creates false confidence","Wrong fulfillment condition creates false confidence; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-07","https://developer.apple.com/app-store/app-privacy-details/","App privacy details","official documentation","apple-privacy","Apple","2026-08-11","current-at-access","security-governance","Data collection disclosure context","Does not validate runtime handling","Does not validate runtime handling; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-08","https://developer.apple.com/design/human-interface-guidelines/accessibility","Human Interface accessibility","professional guide","apple-accessibility","Apple","2026-08-11","current-at-access","counterevidence","Accessible interaction design","Guidance is not a user study","Guidance is not a user study; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-09","https://developer.apple.com/documentation/metrickit","MetricKit","official documentation","metrickit","Apple","2026-08-11","current-at-access","market-demand","Device performance and diagnostic payloads","Availability and aggregation constraints apply","Availability and aggregation constraints apply; version and target-system applicability must be rechecked","opened"
"TD-PS07-SRC-10","https://www.w3.org/TR/WCAG22/","W3C WCAG 2.2","standard","wcag-mobile","W3C","2026-08-11","current-at-access","profession-authority","Cross-platform accessibility principles","Native mapping requires platform interpretation","Native mapping requires platform interpretation; version and target-system applicability must be rechecked","opened"
