"source_id","url","title","source_type","source_family","publisher_group","accessed_at","version_date","evidence_lane","supports","does_not_support","limitations","opened_status"
"TD-PS09-SRC-01","https://grafana.com/docs/k6/latest/using-k6/scenarios/","k6 scenarios","official documentation","k6-scenarios","Grafana","2026-08-11","current-at-access","executable-artifact","Open and closed workload models","Does not define business success","Does not define business success; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-02","https://grafana.com/docs/k6/latest/using-k6/scenarios/concepts/arrival-rate-vu-allocation/","k6 arrival rate","official documentation","k6-arrival","Grafana","2026-08-11","current-at-access","practitioner-failure","Arrival rate and dropped iteration mechanics","Load generator capacity can distort results","Load generator capacity can distort results; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-03","https://grafana.com/docs/k6/latest/using-k6/thresholds/","k6 thresholds","official documentation","k6-thresholds","Grafana","2026-08-11","current-at-access","executable-artifact","Machine-enforced performance criteria","Threshold selection remains contextual","Threshold selection remains contextual; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-04","https://prometheus.io/docs/practices/histograms/","Prometheus histograms","professional guide","prom-histogram","Prometheus","2026-08-11","current-at-access","profession-authority","Aggregatable latency distributions","Bucket design changes error bounds","Bucket design changes error bounds; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-05","https://sre.google/sre-book/handling-overload/","Google SRE handling overload","professional guide","sre-overload","Google","2026-08-11","current-at-access","counterevidence","Load shedding and bounded retries","Not a target capacity number","Not a target capacity number; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-06","https://sre.google/sre-book/addressing-cascading-failures/","Google SRE cascading failures","professional guide","sre-cascade","Google","2026-08-11","current-at-access","practitioner-failure","Positive feedback and retry amplification","Architecture-specific propagation differs","Architecture-specific propagation differs; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-07","https://opentelemetry.io/docs/specs/otel/metrics/","OpenTelemetry metrics","official specification","otel-metrics","OpenTelemetry","2026-08-11","current-at-access","ai-capability","Metric instruments and aggregation","Instrumentation does not define SLO","Instrumentation does not define SLO; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-08","https://docs.vllm.ai/en/stable/usage/metrics/","vLLM production metrics","official documentation","vllm-metrics","vLLM","2026-08-11","current-at-access","market-demand","Queue TTFT inter-token and cache metrics","Provider and version specific","Provider and version specific; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-09","https://docs.nvidia.com/deeplearning/triton-inference-server/user-guide/docs/perf_benchmark/genai-perf-README.html","NVIDIA GenAI-Perf","benchmarking guide","genai-perf","NVIDIA","2026-08-11","current-at-access","executable-artifact","Generative inference performance measurement","Does not score task correctness","Does not score task correctness; version and target-system applicability must be rechecked","opened"
"TD-PS09-SRC-10","https://opentelemetry.io/docs/specs/semconv/general/trace/","OpenTelemetry trace conventions","official specification","otel-trace","OpenTelemetry","2026-08-11","current-at-access","security-governance","Stage correlation and error recording","Sensitive data handling is separate","Sensitive data handling is separate; version and target-system applicability must be rechecked","opened"
