source_id,url,title,source_type,source_family,publisher_group,accessed_at,version_date,evidence_lane,supports,does_not_support,limitations,opened_status
TD-C02-S01,https://istqb.org/,ISTQB AI testing syllabus,professional syllabus,testing-competency,ISTQB,2026-08-12,current-at-access,profession-authority,competency vocabulary and testing responsibilities,does not define any employer promotion band,syllabus scope is broader than this course,opened
TD-C02-S02,https://www.iso.org/standard/42001,ISO 42001 AI management,standard,ai-governance,ISO,2026-08-12,2023,profession-authority,governance accountability and continual improvement,does not define personal seniority,public summary omits paid standard detail,opened
TD-C02-S03,https://www.w3.org/TR/WCAG22/,WCAG 2.2,standard,quality-model,W3C,2026-08-12,2023,ai-capability,observable quality criteria and user impact,does not prove a course learner is compliant,target context and assistive technology still require testing,opened
TD-C02-S04,https://sre.google/sre-book/service-level-objectives/,SRE SLO,official documentation,reliability,Google SRE,2026-08-12,current-at-access,executable-artifact,owner and decision-oriented evidence,does not provide this course career level,service thresholds require local calibration,opened
TD-C02-S05,https://principlesofchaos.org/,Principles of Chaos Engineering,standard,chaos,Chaos Community,2026-08-12,current-at-access,practitioner-failure,steady state hypotheses and blast-radius control,does not certify practitioner ability,principles need an authorized environment,opened
TD-C02-S06,https://www.promptfoo.dev/docs/intro/,Promptfoo introduction,official documentation,eval-tool,Promptfoo,2026-08-12,current-at-access,ai-capability,versioned eval and red-team workflow,does not prove model quality or career readiness,tool behavior can change by release,opened
TD-C02-S07,https://playwright.dev/docs/test-agents,Playwright test agents,official documentation,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,candidate generation and test workflow,does not grant release authority,generated tests still need an independent oracle,opened
TD-C02-S08,https://owasp.org/www-project-application-security-verification-standard/,OWASP ASVS,professional guide,security,OWASP,2026-08-12,current-at-access,practitioner-failure,security responsibility and verification controls,does not define a universal career ladder,controls must be mapped to the target system,opened
TD-C02-S09,https://github.com/microsoft/playwright,Playwright repository,primary repository,automation-tool,Microsoft,2026-08-12,current-at-access,executable-artifact,inspectable implementation and issue evidence,does not prove organizational adoption,commit and release context may drift,opened
TD-C02-S10,https://arxiv.org/,Evaluation research index,research paper,eval-research,arXiv,2026-08-12,current-at-access,market-signal,research directions for evaluation and human review,does not establish a production or promotion threshold,individual papers need paper-level appraisal,opened
